Contract,,Strike,Strike,Bal,,Expiry,Year,Month,Day,Date,poc,Previous,Settlement,Change
"OKLI   July,2020   Call    30/07/2020   1,390",,"1,390.00",1390,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,206.80,199.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,400",,"1,400.00",1400,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,196.90,189.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,410",,"1,410.00",1410,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,186.90,179.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,420",,"1,420.00",1420,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,176.90,169.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,430",,"1,430.00",1430,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,166.90,159.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,440",,"1,440.00",1440,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,156.90,149.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,450",,"1,450.00",1450,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,146.90,139.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,460",,"1,460.00",1460,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,136.90,129.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,470",,"1,470.00",1470,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,126.90,119.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,480",,"1,480.00",1480,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,116.00,109.90,0.00
"OKLI   July,2020   Call    30/07/2020   1,490",,"1,490.00",1490,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,106.00,100.00,0.00
"OKLI   July,2020   Call    30/07/2020   1,500",,"1,500.00",1500,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,96.00,90.10,0.00
"OKLI   July,2020   Call    30/07/2020   1,510",,"1,510.00",1510,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,86.00,77.20,-8.80
"OKLI   July,2020   Call    30/07/2020   1,520",,"1,520.00",1520,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,77.80,70.50,0.00
"OKLI   July,2020   Call    30/07/2020   1,530",,"1,530.00",1530,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,68.40,61.00,0.00
"OKLI   July,2020   Call    30/07/2020   1,540",,"1,540.00",1540,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,59.30,51.80,0.00
"OKLI   July,2020   Call    30/07/2020   1,550",,"1,550.00",1550,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,50.60,43.10,0.00
"OKLI   July,2020   Call    30/07/2020   1,560",,"1,560.00",1560,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,42.50,35.00,0.00
"OKLI   July,2020   Call    30/07/2020   1,570",,"1,570.00",1570,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,35.00,27.70,0.00
"OKLI   July,2020   Call    30/07/2020   1,580",,"1,580.00",1580,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,28.20,22.00,-6.20
"OKLI   July,2020   Call    30/07/2020   1,590",,"1,590.00",1590,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,22.30,15.80,0.00
"OKLI   July,2020   Call    30/07/2020   1,600",,"1,600.00",1600,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,20.00,11.30,0.00
"OKLI   July,2020   Call    30/07/2020   1,610",,"1,610.00",1610,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,12.90,7.80,0.00
"OKLI   July,2020   Call    30/07/2020   1,620",,"1,620.00",1620,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,9.40,5.20,0.00
"OKLI   July,2020   Call    30/07/2020   1,630",,"1,630.00",1630,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,13.90,3.30,0.00
"OKLI   July,2020   Call    30/07/2020   1,640",,"1,640.00",1640,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,4.70,2.10,0.00
"OKLI   July,2020   Call    30/07/2020   1,650",,"1,650.00",1650,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,3.10,1.20,0.00
"OKLI   July,2020   Call    30/07/2020   1,660",,"1,660.00",1660,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,2.10,0.70,0.00
"OKLI   July,2020   Call    30/07/2020   1,670",,"1,670.00",1670,37,"OKLI   July,2020   Call    30/07/2020",30/07/2020,2020,07,30,2020-07-30,call,1.30,0.40,0.00
"OKLI   August,2020   Call    28/08/2020   1,440",,"1,440.00",1440,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,151.20,145.00,0.00
"OKLI   August,2020   Call    28/08/2020   1,450",,"1,450.00",1450,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,141.50,135.10,0.00
"OKLI   August,2020   Call    28/08/2020   1,460",,"1,460.00",1460,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,131.90,125.40,0.00
"OKLI   August,2020   Call    28/08/2020   1,470",,"1,470.00",1470,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,122.40,115.80,0.00
"OKLI   August,2020   Call    28/08/2020   1,480",,"1,480.00",1480,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,113.10,106.30,0.00
"OKLI   August,2020   Call    28/08/2020   1,490",,"1,490.00",1490,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,103.90,96.90,0.00
"OKLI   August,2020   Call    28/08/2020   1,500",,"1,500.00",1500,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,95.00,87.80,0.00
"OKLI   August,2020   Call    28/08/2020   1,510",,"1,510.00",1510,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,86.40,79.00,0.00
"OKLI   August,2020   Call    28/08/2020   1,520",,"1,520.00",1520,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,78.00,70.50,0.00
"OKLI   August,2020   Call    28/08/2020   1,530",,"1,530.00",1530,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,70.10,62.40,0.00
"OKLI   August,2020   Call    28/08/2020   1,540",,"1,540.00",1540,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,62.50,54.80,0.00
"OKLI   August,2020   Call    28/08/2020   1,550",,"1,550.00",1550,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,55.30,47.60,0.00
"OKLI   August,2020   Call    28/08/2020   1,560",,"1,560.00",1560,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,48.60,41.00,0.00
"OKLI   August,2020   Call    28/08/2020   1,570",,"1,570.00",1570,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,42.40,34.90,0.00
"OKLI   August,2020   Call    28/08/2020   1,580",,"1,580.00",1580,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,36.70,29.40,0.00
"OKLI   August,2020   Call    28/08/2020   1,590",,"1,590.00",1590,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,31.50,24.50,0.00
"OKLI   August,2020   Call    28/08/2020   1,600",,"1,600.00",1600,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,26.80,20.20,0.00
"OKLI   August,2020   Call    28/08/2020   1,610",,"1,610.00",1610,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,22.60,16.40,0.00
"OKLI   August,2020   Call    28/08/2020   1,620",,"1,620.00",1620,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,18.90,13.20,0.00
"OKLI   August,2020   Call    28/08/2020   1,630",,"1,630.00",1630,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,15.70,10.50,0.00
"OKLI   August,2020   Call    28/08/2020   1,640",,"1,640.00",1640,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,12.90,8.20,0.00
"OKLI   August,2020   Call    28/08/2020   1,650",,"1,650.00",1650,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,10.50,6.40,0.00
"OKLI   August,2020   Call    28/08/2020   1,660",,"1,660.00",1660,39,"OKLI   August,2020   Call    28/08/2020",28/08/2020,2020,08,28,2020-08-28,call,8.50,4.90,0.00
"OKLI   September,2020   Call    30/09/2020   1,140",,"1,140.00",1140,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,440.80,435.30,0.00
"OKLI   September,2020   Call    30/09/2020   1,160",,"1,160.00",1160,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,420.90,415.40,0.00
"OKLI   September,2020   Call    30/09/2020   1,180",,"1,180.00",1180,42,"OKLI   September,2020   Call    30/09/2020",30/09/2020,2020,09,30,2020-09-30,call,400.90,395.50,0.00
