strike,expiry,poc,futures,value_date,rate,rate_basis,settlement,day_count
1390,2020-07-30,call,1590,2020-07-15,10.00,Money Market,199.90,Actual/365
1400,2020-07-30,call,1590,2020-07-15,10.00,Money Market,189.90,Actual/365
1410,2020-07-30,call,1590,2020-07-15,10.00,Money Market,179.90,Actual/365
1420,2020-07-30,call,1590,2020-07-15,10.00,Money Market,169.90,Actual/365
1430,2020-07-30,call,1590,2020-07-15,10.00,Money Market,159.90,Actual/365
1440,2020-07-30,call,1590,2020-07-15,10.00,Money Market,149.90,Actual/365
1450,2020-07-30,call,1590,2020-07-15,10.00,Money Market,139.90,Actual/365
1460,2020-07-30,call,1590,2020-07-15,10.00,Money Market,129.90,Actual/365
1470,2020-07-30,call,1590,2020-07-15,10.00,Money Market,119.90,Actual/365
1480,2020-07-30,call,1590,2020-07-15,10.00,Money Market,109.90,Actual/365
1490,2020-07-30,call,1590,2020-07-15,10.00,Money Market,100.00,Actual/365
1500,2020-07-30,call,1590,2020-07-15,10.00,Money Market,90.10,Actual/365
1510,2020-07-30,call,1590,2020-07-15,10.00,Money Market,77.20,Actual/365
1520,2020-07-30,call,1590,2020-07-15,10.00,Money Market,70.50,Actual/365
1530,2020-07-30,call,1590,2020-07-15,10.00,Money Market,61.00,Actual/365
1540,2020-07-30,call,1590,2020-07-15,10.00,Money Market,51.80,Actual/365
1550,2020-07-30,call,1590,2020-07-15,10.00,Money Market,43.10,Actual/365
1560,2020-07-30,call,1590,2020-07-15,10.00,Money Market,35.00,Actual/365
1570,2020-07-30,call,1590,2020-07-15,10.00,Money Market,27.70,Actual/365
1580,2020-07-30,call,1590,2020-07-15,10.00,Money Market,22.00,Actual/365
1590,2020-07-30,call,1590,2020-07-15,10.00,Money Market,15.80,Actual/365
1600,2020-07-30,call,1590,2020-07-15,10.00,Money Market,11.30,Actual/365
1610,2020-07-30,call,1590,2020-07-15,10.00,Money Market,7.80,Actual/365
1620,2020-07-30,call,1590,2020-07-15,10.00,Money Market,5.20,Actual/365
1630,2020-07-30,call,1590,2020-07-15,10.00,Money Market,3.30,Actual/365
1640,2020-07-30,call,1590,2020-07-15,10.00,Money Market,2.10,Actual/365
1650,2020-07-30,call,1590,2020-07-15,10.00,Money Market,1.20,Actual/365
1660,2020-07-30,call,1590,2020-07-15,10.00,Money Market,0.70,Actual/365
1670,2020-07-30,call,1590,2020-07-15,10.00,Money Market,0.40,Actual/365
1440,2020-08-28,call,1585,2020-07-15,10.00,Money Market,145.00,Actual/365
1450,2020-08-28,call,1585,2020-07-15,10.00,Money Market,135.10,Actual/365
1460,2020-08-28,call,1585,2020-07-15,10.00,Money Market,125.40,Actual/365
1470,2020-08-28,call,1585,2020-07-15,10.00,Money Market,115.80,Actual/365
1480,2020-08-28,call,1585,2020-07-15,10.00,Money Market,106.30,Actual/365
1490,2020-08-28,call,1585,2020-07-15,10.00,Money Market,96.90,Actual/365
1500,2020-08-28,call,1585,2020-07-15,10.00,Money Market,87.80,Actual/365
1510,2020-08-28,call,1585,2020-07-15,10.00,Money Market,79.00,Actual/365
1520,2020-08-28,call,1585,2020-07-15,10.00,Money Market,70.50,Actual/365
1530,2020-08-28,call,1585,2020-07-15,10.00,Money Market,62.40,Actual/365
1540,2020-08-28,call,1585,2020-07-15,10.00,Money Market,54.80,Actual/365
1550,2020-08-28,call,1585,2020-07-15,10.00,Money Market,47.60,Actual/365
1560,2020-08-28,call,1585,2020-07-15,10.00,Money Market,41.00,Actual/365
1570,2020-08-28,call,1585,2020-07-15,10.00,Money Market,34.90,Actual/365
1580,2020-08-28,call,1585,2020-07-15,10.00,Money Market,29.40,Actual/365
1590,2020-08-28,call,1585,2020-07-15,10.00,Money Market,24.50,Actual/365
1600,2020-08-28,call,1585,2020-07-15,10.00,Money Market,20.20,Actual/365
1610,2020-08-28,call,1585,2020-07-15,10.00,Money Market,16.40,Actual/365
1620,2020-08-28,call,1585,2020-07-15,10.00,Money Market,13.20,Actual/365
1630,2020-08-28,call,1585,2020-07-15,10.00,Money Market,10.50,Actual/365
1640,2020-08-28,call,1585,2020-07-15,10.00,Money Market,8.20,Actual/365
1650,2020-08-28,call,1585,2020-07-15,10.00,Money Market,6.40,Actual/365
1660,2020-08-28,call,1585,2020-07-15,10.00,Money Market,4.90,Actual/365
1140,2020-09-30,call,1577,2020-07-15,10.00,Money Market,435.30,Actual/365
1160,2020-09-30,call,1577,2020-07-15,10.00,Money Market,415.40,Actual/365
1180,2020-09-30,call,1577,2020-07-15,10.00,Money Market,395.50,Actual/365
1200,2020-09-30,call,1577,2020-07-15,10.00,Money Market,375.60,Actual/365
1220,2020-09-30,call,1577,2020-07-15,10.00,Money Market,355.60,Actual/365
1240,2020-09-30,call,1577,2020-07-15,10.00,Money Market,335.70,Actual/365
